"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.25,0,0,0,0,0.15,0,0.25,0.05
"2",0.05,0.6,0,0,0,0,0,0.05,0
"3",0.35,0,0.05,0,0,0,0,0,0
"4",0,0,0.35,0,0,0,0,0,0
"5",0,0.05,0.05,0,0.05,0.3,0.1,0,0
"6",0.5,0,0,0,0,0.45,0,0,0
"7",0,0,0,0.1,0,0,0.1,0,0
"8",0,0,0,0,0.05,0.25,0,0,0.1
"9",0,0.05,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0.05,0.1
"11",0.5,0,0.05,0,0.05,0,0.45,0,0
"12",0.45,0,0,0,0,0.4,0,0.45,0
"13",0.65,0.05,0,0,0,0,0.3,0,0
"14",0,0,0,0,0,0,0.05,0,0.2
"15",0,0,0,0.05,0,0.05,0.1,0,0
"16",0,0,0,0,0,0,0,0.25,0.25
"17",0.9,0.05,0,0,0,0.2,0.15,0.4,0
"18",0,0.05,0,0,0.2,0,0,0.1,0.4
"19",0,0,0,0,0,0.25,0.1,0.15,0.2
"20",0,0,0,0.3,0,0.1,0.6,0,0
"21",0,0.35,0,0,0,0.15,0.1,0,0
"22",0.65,0,0,0.05,0,0.35,0.1,0,0.35
"23",0,0,0,0,0,0.1,0.35,0,0.6
"24",0,0,0,0,0.05,0.65,0.15,0,0.15
"25",0.6,0,0,0,0.05,0,0.35,0,0
"26",0,0,0,0,0.15,0.35,0.05,0.05,0.1
"27",0,0,0,0,0,0.15,0.3,0.1,0
"28",0.05,0.05,0.1,0.05,0,0,0.35,0.7,0
"29",0,0,0,0,0,0,0,0.15,0.05
"30",0.05,0.05,0,0,0,0.3,0.05,0.05,0.05
"31",0,0,0,0,0.05,0,0.4,0.3,0.05
"32",0.15,0.1,0,0,0,0.35,0.55,0.1,0
"33",0.15,0,0,0,0,0,0.3,0,0.05
"34",0,0,0,0,0.2,0.35,0,0,0.1
"35",0,0.5,0,0,0.05,0.1,0.25,0,0.4
"36",0,0,0,0,0,0.05,0,0.25,0
"37",0,0,0,0.55,0,0.25,0.05,0.15,0.1
"38",0.05,0,0,0.05,0,0.3,0,0.2,0.3
"39",0,0.6,0,0,0,0.05,0.2,0.15,0
"40",0,0,0,0,0,0.25,0.05,0,0
"41",0,0,0,0,0.45,0.2,0,0,0
"42",0,0,0,0,0.05,0,0.25,0,0
"43",0.05,0.05,0,0,0.05,0.2,0.1,0,0
"44",0.15,0,0,0.45,0,0.05,0,0,0
"45",0,0,0,0,0.15,0.05,0,0,0
"46",0,0.5,0,0.05,0,0.1,0,0,0.1
"47",0.5,0,0,0,0,0,0.3,0,0.05
"48",0.4,0,0.05,0,0,0,0.55,0,0.15
"49",0,0,0,0,0,0.4,0,0.1,0
"50",0.75,0,0,0.05,0.05,0,0.05,0.5,0.15
"51",0.45,0,0.05,0.1,0.3,0.45,0,0.4,0
"52",0,0.55,0,0,0.05,0.05,0.25,0.7,0
"53",0,0,0,0,0,0.2,0,0,0
"54",0.55,0,0.05,0.05,0,0.05,0,0.1,0.45
"55",0.15,0,0,0,0,0.45,0,0.1,0
"56",0,0,0.2,0,0.05,0,0,0.05,0.05
"57",0.15,0,0,0,0.05,0.1,0,0,0
"58",0.05,0,0.05,0,0,0,0,0,0.1
"59",0.35,0.05,0,0,0.05,0.4,0.5,0,0
"60",0.2,0.05,0,0.05,0.1,0.05,0,0.05,0.35
"61",0,0.05,0.05,0.05,0.05,0.1,0.35,0,0
"62",0,0,0,0,0.05,0.05,0,0.15,0.05
"63",0,0.6,0,0,0,0,0,0.2,0.05
"64",0,0.05,0,0,0,0,0.05,0.1,0.45
"65",0,0.15,0,0.35,0,0,0.2,0,0
"66",0.5,0,0,0.35,0,0.1,0.4,0.15,0.25
"67",0,0.05,0,0,0,0.2,0,0,0.1
"68",0,0,0,0,0,0,0,0,0
"69",0.2,0.05,0.05,0.05,0,0,0,0.05,0.1
"70",0,0,0,0.05,0,0.25,0.1,0,0.4
"71",0.4,0,0,0,0,0.55,0.05,0,0.05
"72",0.25,0,0,0,0,0,0.4,0,0
"73",0.15,0.25,0,0,0,0.05,0.1,0.25,0.05
"74",0.1,0,0,0.1,0,0,0.15,0,0
"75",0.1,0,0,0,0,0.35,0.15,0,0
"76",0,0,0,0,0,0,0,0,0.05
"77",0.05,0,0,0,0,0.1,0.65,0.05,0
"78",0.45,0.05,0,0,0.2,0,0,0,0.05
"79",0,0.05,0,0,0,0,0.05,0.05,0
"80",0,0,0,0.05,0,0,0.2,0,0
"81",0,0,0.25,0,0.45,0.45,0,0,0
"82",0,0,0,0,0.05,0,0.05,0.05,0.1
"83",0.4,0.05,0.05,0,0,0.1,0,0,0
"84",0,0,0,0,0.15,0.05,0.05,0.1,0.05
"85",0.05,0.05,0,0,0.05,0.1,0,0,0
"86",0.6,0,0,0.75,0,0,0.15,0,0
"87",0,0,0,0,0.05,0,0,0.05,0.05
"88",0,0,0.45,0,0,0.05,0.1,0,0.1
"89",0.1,0,0,0,0,0,0,0,0.05
"90",0.45,0,0,0.05,0,0,0.1,0.15,0.15
"91",0,0,0,0,0,0.05,0,0,0
"92",0.5,0,0,0,0.05,0,0,0,0
"93",0.5,0.05,0,0,0,0.3,0.1,0,0
"94",0.1,0,0,0,0.65,0.1,0,0,0
"95",0.4,0,0,0,0,0.05,0.1,0.05,0
"96",0.05,0,0,0,0,0,0,0,0
"97",0.45,0,0,0,0,0.05,0,0.15,0.2
"98",0.35,0.55,0,0.8,0,0,0.2,0,0
"99",0,0,0.05,0.05,0.05,0.05,0,0,0.15
"100",0.15,0.5,0.05,0.05,0.1,0.55,0.1,0.2,0
